text,label,theme,sentiment,date,source,Facility
"Lab tests were for baby - bilirubin checked 3-4 times.  There was a noticable difference in the lab techs.  Some had a lot more finesse & made baby cry much less than the others.  FANTASTIC midwife : Robin and the most amazing L&D nurse, Elizabeth.  L&D experience was just how I wanted it.  Natural and I felt so supported by nurse & midwife.  Post-op room could use some updating to rolly table, and the bed had a non-adjust decline at feet which increased edema",3,"Staff (Midwife: Robin, L&D Nurse: Elizabeth, Lab Techs)",0,11/21/2024,X/Twitter,Kaiser Permanente
"1.  I had to take Covid-19 tests twice in the same day.  First sample was mistakenly sent to an outside lab instead of the hospital lab.  For second sample, a nurse injured my nasal mucosal, causing a heavy nose bleed.  2.  After my cholecystectomy, I had to dealt with a great deal of pain.  Med/sug nurses didn't know what to do about pain control to keep my pain level down.  I was surprised the nurses didn't have that basic RN knowledge!  I used to be an RN.",4,"Pain Management, Staff",-0.5,2/25/2025,X/Twitter,Kaiser Permanente
"Translated from Spanish - I don't have complaints about the doctors nor from the hospital, but I do from the nurses.  They were very mocking and uncourteous, angry and lazy  Wouldn't help me go to the bathroom or give me my medicine until they felt like helping.  Talking amongst themselves was more important or being on their phones  Just a few of them treated me with courtesy, but most of them were rude  I didn't have good treatment from the nursing staff.",3,Nursing Staff (Behavior),0,11/15/2024,X/Twitter,Kaiser Permanente
During ER we said patient was not taking a specific medication.  We then corrected and said he was taking the medicine.  Upon discharge we find out he was not given the medication during his stay.  We were not advised that he was not given the medication.  At discharge we were told he was to take it PM and I asked how were we to know when.  Nurse and I (wife) went round and round on this because the medication has to be weaned but it was stopped immediately,4,"Emotional Support, Communication",-0.5,10/23/2024,Yelp,Kaiser Permanente
"Most things went well but my release (sucked.)  I was departing state on day I was released no new medication was sent to (unreadable) by whoever does, delaying me.  I called floor nurse who went out of her way to get ER doctor to order meds there by delaying my departure 2 1/2 hours.  Being a heart patient taht stress that I was placed under was almost worse than the reason I was sent to the ER In the first place! Larry 209-548-0765 if you want to discuss.",3,Release,0,3/3/2025,Google,Kaiser Permanente
"I absolutely love the nurses at Alta Bates.  Jenn (my main nurse) helped with both of my babies and she is the best!  All of my nurses were incredible.  I had to go to the OR immediately after birth because my placenta was stuck.  I was scared and bleeding a lot.  I remember one of the nurses holding my hand while I was out of it on meds, but I do remember her compassion and concern.  I was so thankful for all of them.  The nurses truly make the experience.",1,Staff,0.5,11/1/2024,X/Twitter,Kaiser Permanente
"I was surprised that the shower was used for storage of equipment and could not be used.  I was there for 3 days and not offered a washcloth or soap and had to use paper towels & hand soap, even though I was admitted with a fever and was sweaty.  Nobody contacted my children to inform them that I was admitted to universal care and later admitted to the surgical ward.  I was not physically able to call them until 24 hours after I entered the emergency room!",4,"Cleanliness, Emotional Support, Communication",-0.5,11/2/2024,Yelp,Kaiser Permanente
"I was admitted with GI bleed.  I specifically spoke with the GI specialist and GI doctor that did my EGO about a specific gastric bypass I had and was told each time ""I know about them."" after my DC, I bled out again.  I went to another hospital, they did a red tag study, and an angiogram to cauterize the bleed on in the un used stomach that can not be seen in an EGO.  GI docs did not listen to me.  Has cared for appropriately at another facility.  J. Croy",4,"Emotional Support (specifically, lack of attentiveness and empathy)",-0.5,1/10/2025,X/Twitter,Kaiser Permanente
"I was very disappointed with my hospital stay.  The nurses were very short handed.  I didn't need much care and received very little ... staff was much to busy.  Did not sleep at night (2 nights) because of a bed alarm that went off all night in the bed next to me (poor nurses!)  I have spent many nights at Memorial (30+) and received excellent care.  Went to use the bathroom & there was feces all over!  I told my family I had the ""stay from hell!""  Sorry?",4,"Staff, Cleanliness",-0.5,9/28/2024,Yelp,Kaiser Permanente
"Overall, it was excellent.  I had one particularly awful experience in your triage with B-H contractions, I was sent home and the nurse said to come back in active labor which was ""unimaginable pain or screaming"". This was terrifying and unhelpful & resulted in 36 hours of discomfort as I had a (unreadable) labor. It was also said in the absence of my husband, so was unhelpful and odd. Very bad experience with big consequences for my birthing experience.",3,Emotional Support,0,2/28/2025,Yelp,Kaiser Permanente
"I required an NG tube and had two nurses try to insert it.  They were using the wrong size tube and were totally inexperienced, it took a third nurse to tell him they had the wrong tube after telling them I would not let them try again.  I was bleeding a lot from them trying  It was not normal and I told them that.  The nurse seemed to know she had the wrong size, stating it was the only one she could find.  The third nurse went and got the correct size.",4,Safety,-0.5,6/9/2025,X/Twitter,Kaiser Permanente
"Overall, I was very happy w Sutter  However, in postop recovery, there was one nurse (NOT the main nurse responsible for me, but a secondary nurse) who in an attempt to bring me to an alert state coming out of anesthesia, said twice to me ""Do you want me to push on your incisions? That'll wake you up!""  And then laughed.  Being still somewhat unconscious and not sure of my surroundings, this was horrible to hear and actually made me briefly quite scared!",3,Emotional Support,0,8/9/2024,Yelp,Kaiser Permanente
"This is regarding hospital policy of not allowing home cooked meal in the hospital due to covid 19.  I went to ER at arnd 4:00 PM and wanted to be admitted.  As I was still in ER at 7:30 PM and asked nurse if I could get meal.  I was told I would be getting plenty of meal once I am in my room.  When I received my room at 8:30 PM, I asked for meal.  I was told that the kitchen closes at 7 PM.  I had my son bring dinner but it was not allowed by security.",4,Facilities (specifically Food),-0.5,5/17/2025,Yelp,Kaiser Permanente
Check in process.  I sat there waiting for check in for about 5 mins.  One person was helping someone else.  I didn't see the other person behind desk.  After about 5 mins. I saw her and asked her if she could help me.  Of course she said yes.  Didn't introduce herself.  I felt like I was interrupting whatever she was doing.  She never asked me for payment.  She had long back hair with bangs older lady about 65.  I think her name was Bark but not sure.,4,Wait Time (Check-in Process),-0.5,12/8/2024,X/Twitter,Kaiser Permanente
I was impressed by the care that I received in intensive care and recovery by the wonderful nursing staff that made my stay there as comfortable as possible.  The pleasant personalities of every staff member was amazing and how the hiring of so many personnel with not one bad experience with anyone of them.  I think you have the best staff and I thank them all for making my experience there as pleasant and comfortable as possible.  Thanks to them all.,1,Staff,0.5,1/17/2025,X/Twitter,Kaiser Permanente
"I had such great care while at Sutter.  My doctors and nurses were so conscientious.  Even the Housekeepers - Rachel in particular was so caring.  I was very scared and Dr. Taylor - Hospitalist, took the time to explain everything to me.  My hats off to all the Nurses + NA's.  Especially Valeria on 4th floor.  Alan of 4th floor PM.  Ali, Amber, Chris + Allen in ICU. I truly the staff at Sutter Valley saved my life and for that I am eternally grateful!",0,Emotional Support (Staff),1,12/24/2024,Google,Kaiser Permanente
"The care I received was lousy. Doctors, nurses + staff did not communicate effectively with my family and I was sent home in an ambulance w/out proper care setup or instruction.  Nurses failed to communicate w/my family and allowed me to make decisions that about my care that I didn't fully understand because I was heavily medicated.  I was disappointed since I had been at Sutter Davis before and had a good experience.  This was not the case anymore.",4,Communication,-0.5,8/1/2024,Google,Kaiser Permanente
"Was admitted through ER and was impressed with how easy but efficient and patient & courteous all personnel were.  Saw doctors daily and they and nurses listened and helped immediately.  They even bundled my overnight interruptions so I got more sleep.  The no visitors Covid-19 policy helped recovery but I could communicate 24/7 with my husband.  I've luckily had few hospital stays, but Sutter Auburn Faith did a great job and I highly recommend them!",1,Staff,0.5,5/1/2025,Google,Kaiser Permanente
"I was there to deliver my baby in July 2020 overall we ha a good experience but it was beyond annoying that my husband had only 5 sandwiches to choose from for breakfast, lunch, dinner and we were there for 6 nights.  I was sharing my meals with him, which was ridiculous since I was trying to heal from a c-section.  You seriously need to change this policy!  That was the most aggravating thing about our entire stay and I had an emergency c-section!",3,Food,0,8/20/2024,Yelp,Kaiser Permanente
"I have been in SSMC several times for same condition in past 2 yrs with good care. I kept telling nurses that NG tube relieving pressure/nothing coming out. 12 hours later one finally asked me how much the NG tube was adjusted. It hadn't been adjusted even though it was marked in my chart that it was needed! Once positioned properly, NG tube did what it was supposed to do. Very frustrating to not be listened to, yet problem was notes in the chart!",4,Emotional Support,-0.5,5/17/2025,X/Twitter,Kaiser Permanente
Dr. Simson said I was confused and I was not ... I fell and hit my head over 7 times on the ground which made my eyes go back in my head ...  That night I never had my concussion pill called m From attachment - I was taking medication for this bruised brain ... So I take these pills called Meclizine when I get dizziness ...  When this happens I get an bad feeling in my head.  So let that Dr. Simpson miss understood my head injury.  Dwight L Blount,4,"Emotional Support, Pain Management, Medication",-0.5,3/27/2025,Google,Kaiser Permanente
"I was on the 4th floor for 3 days.  The first & third days were fine, day 2 was awful.  I never knew who my nurse was or charge nurse.  My room was 401 across from nurses' station.  The nurses talked loudly about Covid patients on the same floor and how panicked they were about going between isolation & regular patients!  The patient in the next room kept calling for help getting back to bed.  Finally he was yelling, ""get me the hell out of here!""",3,"Emotional Support, Staff, Cleanliness (implied), Safety",0,11/28/2024,X/Twitter,Kaiser Permanente
"Per his daughter - dad has no memory of his stay but, I did stay 13 days w/ him in his room.  The level of respect, dignity and care from every doctor, nurse, assistant, lab technicians was of the utmost highest degree I have ever seen or experienced I am forever grateful.  If even, I had need to be in a hospital = this is the one I'd want to be at.  I've sat w/ many a friend, stayed w/ overnight over many years.  Sutter Sacramento is top notch!",1,Staff,0.5,11/20/2024,Google,Kaiser Permanente
"I was told I needed an endoscopy, but it was never done and I left without clear understanding as to follow up.  One and a half month later I still have no been able to have it done.  Incredibly upset re: my entire experience while in hospital.  Nothing was explained.  I only saw two doctors for 5 minutes, each time.  And again, nothing was explained in any way.  This hospital should be closed.  They only treated the symptoms and zero follow up.",4,"Emotional Support, Communication",-0.5,3/4/2025,Google,Kaiser Permanente
"The management staff decided to move to me a different room  <24 hrs. after delivery, causing unnecessary stress.  The new room was NOT set up for postpartum recovery - the bathroom had no soap.  No supplies for bleeding.  The room was very noisy and by all ambulances.  The staff were not responsive to requests.  Like I was in a room and everyone forgot.  I left early because it was so noisy and felt like I was not getting support in that room.",4,"Staff, Cleanliness, Emotional Support",-0.5,6/11/2025,X/Twitter,Kaiser Permanente
"Yes, I requested a detailed letter explaining that Sutter Urgent care told my husband to rush to ER.  When he was admitted what his blood sugar count, his blood pressure and hes daily regiment requirement.  In addition I need the letter to entail he was release immediately to go back to his job as a correctional office 17 + hours before this he was in excellent health his reward will verity thank you his wife Annette Mouse 916-262-(unreadable)",1,Referral,0.5,5/1/2025,Yelp,Kaiser Permanente
The level of care from med/surg is different from ICU level. As an ICU nurse I have to watch for my life while I was staying. My discharge pain wasn't manage in the beginning and I have to suffer for that on top of RN staff heartless non compassionate nurses taking care of me. Also I have to tell the other nurse I develop fluid overload and continue to give me IVF despite my objects and Sx.  I have to fight for rights to be alive in this unit.,4,"Emotional Support, Pain Management, Staff (specifically bedside manners)",-0.5,12/3/2024,Yelp,Kaiser Permanente
"Left hospital and still had fever post surgery (appendix surgery); surgeon said they'll prescribe antibiotics but they did not?!?  So I had to fight infection @ home for 4 days w/o proper medication -> unacceptable  Other than that good experience  Also surgeon said in post surgery office visit that he wasn't sure whether he removed appendix, he thought he did but pathology dept. told him they did not find/see appendix in what he sent them?!?",4,Medication,-0.5,8/11/2024,X/Twitter,Kaiser Permanente
My ER nurse Marcus was wonderful  He was great at letting me what was going on and why.  ICU nurse Michelle did a fantastic job looking out for me/great male orderly ICU nurse Blaine did a super job taking care for me and also kept me informed.  The doctors + staff did a great job getting the blot breaked right where it needed to be to break it up + save my life.  No one I came in contact with did a less than fantastic job.  Great team work.,1,Staff,0.5,5/24/2025,Google,Kaiser Permanente
At one point I was on strict bedrest ordered for six hours.  I was actually on bedrest for more than 14 hrs. so long it was very uncomfortable.  I rang for my nurse.  Two other nurses came in and I told them my legs needed to be released + I need to sit up They did not listen and left.  AFter my nurse came back she released me.  My nurse was fine.  The two rude nurses who would not listen + walked out were the reason nursing was marked down!,4,Nurse (Bedside Manners),-0.5,1/20/2025,Google,Kaiser Permanente
"I was sent to Mission Bernae after being in ER on Van Ness and there were no roomsMonday and on Tuesday a ""charge nurse didn't like the IV tape so she re did it and screwed it up so no more IV antibiotics. During the day three more nurses tried to do a new and screwed it up. So at 11:00 at night had to take a pill I was discharged on Wed am and felt worse than when I entered and contacted some sort of virus would never return to the hospital",4,Staff,-0.5,4/28/2025,X/Twitter,Kaiser Permanente
"Everyone at the hospital tended to me quickly and they were very nice and attentive.  My only complaint was the 3 female and 1 male nurse in ICU during the night shift.  They were very loud the entire night and did not dim they're lights.  I could not sleep, I was uncomfortable and when I called them it took long for them to respond even though my bed was next to them.  Aside from the night staff everyone else was courteous and professional.",3,Staff (for both positive and negative aspects),0,5/2/2025,Google,Kaiser Permanente
